Source Page Title	URL	Domain Score	Page Score	Link Type	Anchor Backlink	First Seen	Last Seen
Eu, Psicóloga.: Como padronizar seus trabalhos acadêmicos nas normas ABNT automaticamente	http://deboraoliveirapsicologa.blogspot.com/2018/02/como-padronizar-seus-trabalhos.html	0	32	Text	FastFormat	2018-07-11	2018-11-08
RÁDIO MAIRI FM NOTÍCIAS : Em PE, amigos criam site que edita artigos automaticamente para ABNT	http://radiomairifm.blogspot.com/2015/10/em-pe-amigos-criam-site-que-edita.html	0	32	Text	link	2018-07-16	2018-11-01
Alexa top domain list || page 85	http://www.toplist.co.in/domain-list-85	0	32	Text	fastformat.co	2019-04-09	2019-04-12
	https://elpialaderogdl.com/form-td-f-90-22-1-rev-1-2012/	0	31	Image		2018-08-10	2018-08-10
Formatação automática de Trabalhos Acadêmicos: Normas da ABNT, periódicos e conferências científicas, TCCs, dissertações e teses. | Super7Downloads	https://super7downloads.blogspot.com/2015/08/formatacao-automatica-de-trabalhos.html	0	31	Image		2018-11-04	2018-11-04
Blog "O DRAGÃO CONTEMPORÂNEO": Agosto 2015	http://odragaocontemporaneo.blogspot.com/2015/08/	0	30	Text	http://www.fastformat.co/	2018-06-30	2018-10-31
Professora Sônia Amaral: DICAS DE COMO MONTAR UM PLANEJAMENTO	http://soniamaralpereira.blogspot.com/2013/04/dicas-de-como-montar-um-planejamento.html	0	30	Image		2018-08-20	2018-08-24
Capa De Trabalho Academico Unip. Fundamental. Capa De Trabalho Academico Unip. Fundamental. Sumrio Normalizao Referncias Citao Sistemas De Chamada Notas Notas De Rodap Trabalhos Acadmicos Ilustraes Co	http://netstudios.net/capa-de-trabalho-academico-unip.html	0	30	Text	.	2018-09-10	2018-11-02
Abnt - oloom.	http://oloom.info/catalog/a/abnt.html	0	29	Image		2018-08-15	2018-08-15
ALUNOS CRIAM SOFTWARE QUE FORMATA TEXTOS CONFORME NORMAS DA ABNT | NED	http://www.sigaoned.com/2015/08/alunos-criam-software-que-formata.html	0	28	Text	blog	2018-11-05	2018-11-05
Acervo do Conhecimento Histórico: Revisão Sistemática da Literatura: O que é? Como fazer?	https://achistorico.blogspot.com/2017/09/revisao-sistematica-da-literatura-o-que.html	0	28	Text	Como escolher o método de pesquisa mais adequado para seu estudo?	2018-06-15	2018-11-08
Blog do Luciano Ferrari: Maio 2016	http://blogdolucianoferrari.blogspot.com/2016/05/	0	28	Text	link	2018-06-19	2018-11-08
Ferramenta ajusta textos conforme as normas da ABNT | Ciência e Tecnologia | Correio da Manhã - Brasil	https://correiodamanha.com.br/site/noticia/ferramenta-ajusta-textos-conforme-as-normas-da-abnt	0	27	Text	link	2018-07-27	2019-04-10
Simplesmente Química!!: Setembro 2015	https://quimichristian.blogspot.com/2015/09/	0	27	Text	blog	2018-07-08	2018-11-08
	http://theremotecomputerrepair.info/abstract-abnt-919c6d/	0	27	Image	Abstract Abnt	2018-07-28	2018-07-28
Asclépios | Porque o que é sério também pode ser divertido. Curiosidades Médicas. História da Medicina. Entenda a origem de muitos mitos.	https://asclepios.com.br/?page=6	0	27	Text	http://www.fastformat.co/	2018-05-13	2018-10-27
	https://carsongov.us/form-td-f-90-22-1-rev-1-2012/	0	25	Image		2018-08-07	2018-08-07
	http://teachnologist.info/como-colocar-cita%C3%A7%C3%B5es-nas-normas	0	24	Image	citacao direta normas e regras da abnt para tcc	2018-11-01	2018-11-01
	http://freebookmarkit.info/cita%C3%A7%C3%B5es-para-colocar-na-introdu%C3%A7%C3%A3o-do-trabalho-acad%C3%AAmico	16	24	Image	formulas normas e regras da abnt para tcc	2018-11-02	2018-11-02
Qual é o Nome Deste Blog?: FastFormat - software para edição de documentos acadêmicos	https://qeondb.blogspot.com/2015/08/fastformat-software-para-edicao-de.html	0	24	Text	http://fastformat.co/	2018-06-21	2018-10-30
Alexa top domain list || page 85	http://www.cricketlive.co.in/domain-list-85	0	24	Text	fastformat.co	2019-04-09	2019-04-12
GEALOGS - Grupo de Estudos e Pesquisas Avançadas em Logística e SCM: Abril 2017	http://profpatriciaguarnieriunb.blogspot.com/2017/04/	0	22	Text	blog	2018-06-18	2018-10-31
TCC PASSO A PASSO, RÁPIDO E FÁCIL - TCC SEM DRAMA - TCC PASSO A PASSO, RÁPIDO E FÁCIL – nas normas abnt	https://criarmeutcc.com.br/tccsdrama/	0	22	Text	TCC	2018-12-29	2019-04-09
Tags - Software | LeiaJá	http://leiajaal.com.br/tags/software?page=1	0	21	Text	site	2019-03-11	2019-03-11
Tags - ABNT | LeiaJá	http://leiajase.com.br/tags/abnt	0	21	Text	site	2018-05-13	2019-01-14
Alexa top domain list || page 85	http://www.ws3x.com/domain-list-85	0	21	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.love.net.in/domain-list-85	0	21	Text	fastformat.co	2019-04-09	2019-04-10
Alexa top domain list || page 85	http://www.searchhotels.in/domain-list-85	0	21	Text	fastformat.co	2019-04-09	2019-04-11
Novo aplicativo organiza textos com normas da ABNT.	http://egressoateneu.blogspot.com/2015/08/novo-aplicativo-organiza-textos-com.html	0	20	Text	http://blog.fastformat.co/	2018-06-19	2018-10-31
Tags - ABNT | LeiaJá	http://oinventordonordeste.com/tags/abnt	0	20	Text	site	2018-04-24	2018-08-15
Aprenda a fazer o seu TCC	http://para-construir.es/aprenda-a-fazer-o-seu-tcc.html	0	20	Text	http://www.fastformat.co/	2018-09-10	2019-03-13
Redação do AcreTI.net | Acre Tecnologia da Informação	http://acreti.net/author/admin	0	20	Text	FastFormat	2017-09-19	2019-04-10
40 tesis de Brasil sobre historia peruana	http://grupodetrabajohistoriasiglo20.blogspot.com/2018/02/40-tesis-de-brasil-sobre-historia.html	0	20	Text	O Centro de Altos Estudos Militares (Peru) e a Escola Superior de Guerra (Brasil) 1948-1968	2018-06-30	2018-10-31
	http://flipverse.us/book-template-routledge.html	0	20	Text	fantastic springer template images	2018-08-03	2018-08-05
Tags - ABNT | LeiaJá	http://leiajape.com.br/tags/abnt	0	18	Text	site	2019-01-20	2019-01-20
	http://www.mediconerd.com.br/	0	18	Text	Fastformat	2017-09-19	2019-04-09
Tags - ABNT | LeiaJá	http://jjpart.com.br/tags/abnt	0	17	Text	site	2018-05-13	2019-01-26
Alexa top domain list || page 85	http://www.sushila.co.in/domain-list-85	0	17	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.muchmore.in/domain-list-85	0	17	Text	fastformat.co	2019-04-09	2019-04-12
Links que Podem Ajudar - Educação e Contabilidade	http://www.educacaoecontabilidade.com.br/links-que-podem-ajudar	0	16	Text	FastFormat	2018-11-01	2018-11-01
Alexa top domain list || websitescrawl.com || page 172	http://websitescrawl.com/domain-list-172	0	16	Text	fastformat.co	2018-11-02	2019-02-14
Alexa top domain list || tejal.group || page 119	http://whenregistered.com/domain-list-119	0	16	Text	fastformat.co	2019-03-04	2019-03-05
Alexa top domain list || page 85	http://www.july.co.in/domain-list-85	0	16	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.ketaki.co.in/domain-list-85	0	16	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.feelfree.in/domain-list-85	0	16	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.janhit.in/domain-list-85	0	16	Text	fastformat.co	2019-04-10	2019-04-16
Alexa top domain list || page 85	http://www.one.net.in/domain-list-85	0	16	Text	fastformat.co	2019-04-09	2019-04-11
Alexa top domain list || tejal.group || page 119	http://tejal.group/domain-list-119	0	15	Text	fastformat.co	2019-03-04	2019-03-05
Alexa top domain list || page 85	http://www.allreviews.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-15
Alexa top domain list || page 85	http://www.cashbackdeals.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.3gp.co.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.again.co.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.anjana.co.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.discussion.co.in/domain-list-85	0	15	Text	fastformat.co	2019-04-11	2019-04-18
Alexa top domain list || page 85	http://www.hansika.co.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.indiansociety.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.income.net.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.new.net.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || page 85	http://www.officialwebsites.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-10
Alexa top domain list || page 85	http://www.onemanarmy.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-15
Alexa top domain list || page 85	http://www.onlinefestival.in/domain-list-85	0	15	Text	fastformat.co	2019-04-11	2019-04-18
Alexa top domain list || page 85	http://www.onlinenewspaper.in/domain-list-85	0	15	Text	fastformat.co	2019-04-09	2019-04-12
Alexa top domain list || tejal.group || page 119	http://tejal.website/domain-list-119	0	15	Text	fastformat.co	2019-03-05	2019-03-05
Blog Sobral Cultural: Estudantes criam aplicativo que organiza texto com normas da ABNT	http://blogsobralcultural.blogspot.com/2015/08/estudantes-criam-aplicativo-que.html	0	13	Text	um blog	2018-07-19	2018-10-27
Home Design Inspiration - Best Place to Find Your Designing Home | Vinhomes-skylakes.com	http://vinhomes-skylakes.com/	10	13	Text	modelos journal conference fastformat	2018-12-02	2018-12-02
Abnt Logo	http://language-translate.info/abnt-logo%20-d425ade/	0	12	Image	Abnt Logo	2018-08-14	2018-08-14
Ranha - O conhecimento da AEC - Arquitetura, Engenharia e Construção	http://ranha.com.br/	0	10	Text	Fastformat	2018-07-26	2019-04-09
	http://homecinemasystem.co/quadro-com-palavras.html	0	10	Text	.	2018-08-02	2018-08-08
Alunos criam software que formata textos conforme normas da ABNT « Alves & Araujo	http://www.alves-araujo.adv.br/alunos-criam-software-que-formata-textos-conforme-normas-da-abnt/	0	7	Text	blog	2018-08-21	2019-01-09
Patricia Guarnieri	http://pguarnieri.blogspot.com/	0	7	Text	blog	2018-06-17	2018-10-31
Teologia e Filosofia em Foco: Julho 2018	http://teologiafilosofiaemfoco.blogspot.com/2018/07/	0	7	Text	https://blog.fastformat.co/abnt-cf-apud-et-al-et-seq-idem-ou-id-ibid-op-cit-passim-loc-cit/	2018-08-02	2018-10-31
Acervo Contábil: 2018	http://acervocontabil.blogspot.com/2018/	0	7	Text	https://blog.fastformat.co/revisao-da-literatura-o-que-e-como-fazer/	2018-06-20	2018-11-08
Bipolaridades: Sites que todo estudante precisa conhecer	http://b-ipolaridades.blogspot.com/2016/02/sites-que-todo-estudante-precisa.html	0	7	Text	http://fastformat.co/	2018-06-19	2018-10-31
Portal eCuesta: SOFTWARE FORMATA TEXTOS CONFORME NORMAS DA ABNT	https://portalecuesta.blogspot.com/2015/08/software-formata-textos-conforme-normas.html	0	7	Text	forma gratuita na internet	2018-07-01	2018-10-31
Cento e trinta coisas incríveis e gratuitas para engenheiros	https://engenharia360.com/coisas-gratuitas-para-engenheiros/	0	7	Text	FasfFormat:	2019-02-17	2019-04-09
22 SITES E APP’S QUE TODO ESTUDANTE DEVERIA CONHECER – Atlas Concursos	https://atlasconcursos.org/22-sites-e-apps-que-todo-estudante-deveria-conhecer/	0	7	Text	FASTFORMAT	2018-10-30	2018-12-05
PROFNIT | Eduardo Setton	https://eduardosetton.com/profnit/	0	7	Text	FastFormat	2018-09-02	2018-12-05
Alunos criam software que formata textos conforme normas da ABNT - Política, Cidadania e Dignidade	http://blogoosfero.cc/politica-cidadania-e-dignidade/blog/alunos-criam-software-que-formata-textos-conforme-normas-da-abnt	0	 	Text	blog	2018-10-21	2018-10-21
	http://atividadesprofessorbruno.blogspot.com/2017/08/modelo-para-formatacao-de-trabalhos.html	0	 	Text	fastformat.co	2018-07-27	2018-07-27
	http://jornalismoreal.com/central-do-aluno/	0	 	Text	FASFFORMAT:	2018-07-26	2018-07-26
Alexa top domain list || 93	http://aarohi.pw/domain-list-93	0	 	Text	fastformat.co	2018-12-01	2018-12-01
Alexa top domain list || 93	http://afsha.pw/domain-list-93	0	 	Text	fastformat.co	2018-12-01	2018-12-01
Alexa top domain list || 93	http://anjana.pw/domain-list-93	0	 	Text	fastformat.co	2018-12-01	2018-12-01
Alexa top domain list || 93	http://ankita.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://ashwini.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://bayko.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://bhabhi.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://bhakti.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://bhavya.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-11-30
Alexa top domain list || 93	http://deepika.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://devyani.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://diksha.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://dipali.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://dipti.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://gauri.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://geeta.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://kalyani.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://kanchan.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://kavita.pw/domain-list-93	0	 	Text	fastformat.co	2018-12-01	2018-12-01
Alexa top domain list || 93	http://komal.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://lalita.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://madhuri.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://mohini.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-19	2018-12-01
Alexa top domain list || 93	http://mukta.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://neelam.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://neeta.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://nilam.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://nisha.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://pari.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://pinky.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://priti.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://priya.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://purva.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://rani.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-19	2018-12-01
Alexa top domain list || 93	http://rekha.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-19	2018-12-01
Alexa top domain list || 93	http://renuka.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-19	2018-12-01
Alexa top domain list || 93	http://reshma.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://rohini.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://rupa.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-11-30
Alexa top domain list || 93	http://sakshi.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://sangita.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://sanjana.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://sarita.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://savita.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://sayali.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://seema.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://seeta.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://shobha.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://smita.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://sujata.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://sunaina.pw/domain-list-93	0	 	Text	fastformat.co	2018-12-01	2018-12-01
Alexa top domain list || 93	http://supriya.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://surekha.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://sushila.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://suvarna.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-12-01
Alexa top domain list || 93	http://vahini.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-19	2018-12-01
Alexa top domain list || 93	http://vandana.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-11-30
Alexa top domain list || 93	http://vijaya.pw/domain-list-93	0	 	Text	fastformat.co	2018-11-30	2018-11-30
Alexa top domain list || 93	http://yogita.pw/domain-list-93	0	 	Text	fastformat.co	2018-12-01	2018-12-01
You searched for .co - Page 77 of 662 - co.webd.topColombia (.co) Top Web Directory	https://co.webd.top/page/77/?s=.co	0	 	Text	www.fastformat.co	2018-09-13	2018-09-13
elsevier template * 28 images - bonito plantilla elsevier embellecimiento ejemplo de colecci 243 n de plantillas de curr 237 culum, journals can i write a template just like the elsevier template academia stack exchange, elsevier journal template sciencedirect template free template design, elsevier journal template elsevier cover letter dolapgnetband free template design, elsarticle my elsevier article does not look right tex stack exchange	http://iranport.pw/elsevier-template/	0	 	Text	.	2018-12-20	2018-12-25
